ITEM_TYPE,ITEMS,Brand Name,Dealer Name,Sales Units,Net Sales $,Net Cost $,SOP $,SOP Units,Net Receipt $,Net Receipt Units,RC $,RC Units,Average Inventory value,Average Inventory Units,Tax Percent %,Gross Receipt $,Gross Receipt Units,Avg item price,Fashion-Style Number,Inventory Weeks,Fashion-Style Count 
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,30,"$3,038 ",$573 ,"$1,033 ",47,($119),-1,$0 ,0,$516 ,23,63.80%,$0 ,0,$19.10 ,8,17,79
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"4,614","$230,299 ","$86,276 ","$392,313 ","17,005","$184,954 ","10,229",$0 ,0,"$187,304 ","8,705",14.60%,"$279,626 ","14,586",$18.70 ,114,30,25
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"2,679","$388,080 ","$88,791 ","$67,930 ","2,827","$153,042 ","5,053",$0 ,0,"$75,542 ","2,686",33.70%,"$152,941 ","5,112",$33.10 ,82,30,17
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,5,$238 ,$134 ,"$9,471 ",336,($19),-1,$0 ,0,"$9,005 ",318,1.50%,$0 ,0,$26.80 ,13,13,124
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"1,482","$394,540 ","$111,191 ","$88,373 ","1,273","$240,480 ","2,987",$0 ,0,"$104,211 ","1,389",33.20%,"$258,785 ","3,196",$75.00 ,48,30,300
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,92,"$2,463 ","$1,660 ","$7,182 ",410,($77),-9,$0 ,0,"$3,299 ",186,22.40%,$0 ,0,$18.00 ,46,26,289
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"6,856","$230,347 ","$103,706 ","$185,360 ","9,638","$197,585 ","10,205",$0 ,0,"$131,907 ","7,050",34.60%,"$197,282 ","10,198",$15.10 ,217,30,23
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,477,"$374,953 ","$92,478 ","$15,221 ",40,"$343,469 ","1,760",$0 ,0,"$68,678 ",352,26.70%,"$341,439 ","1,749",$193.90 ,50,30,38
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"4,061","$65,759 ","$35,744 ","$42,629 ","4,566","$66,588 ","7,277",$0 ,0,"$29,686 ","3,240",34.20%,"$66,949 ","7,318",$8.80 ,146,30,59
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,273,"$6,398 ","$4,008 ",2545,51305,"$10,213 ",688,$0 ,0,"$5,099 ",343,39.60%,"$10,227 ",689,$14.70 ,2,17,82
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,80,"$2,083 ","$1,338 ","$5,473 ",304,($32),0,$0 ,0,"$2,609 ",146,26.30%,$0 ,0,$16.70 ,14,26,226
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"5,476","$390,352 ","$111,908 ","$457,588 ","13,668","$19,626 ","2,641",$0 ,0,"$181,336 ","6,211",32.00%,"$58,096 ","3,467",$20.40 ,563,30,164
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,841,"$362,005 ","$84,850 ","$103,100 ","1,031","$158,970 ","1,573",$0 ,0,"$90,250 ",895,34.60%,"$142,650 ","1,401",$100.90 ,188,30,94
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"4,583","$392,824 ","$95,124 ","$238,651 ","10,225","$306,071 ","18,614",$0 ,0,"$185,578 ","10,086",15.80%,"$312,034 ","18,832",$20.80 ,205,30,254
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"3,766","$366,070 ","$65,074 ","$58,189 ","3,539","$65,508 ","3,685",$0 ,0,"$34,380 ","2,028",52.10%,"$64,594 ","3,696",$17.30 ,118,30,21
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"3,357","$370,485 ","$80,006 ",$353 ,9,"$156,677 ","6,534",$0 ,0,"$38,970 ","1,590",51.70%,"$155,237 ","6,478",$23.80 ,69,30,3
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"3,701","$220,558 ","$128,647 ","$13,905 ",440,"$277,759 ","7,810",$0 ,0,"$98,805 ","2,803",44.80%,"$278,151 ","7,819",$34.80 ,41,30,287
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"1,775","$366,700 ","$84,860 ","$59,656 ","1,234","$141,087 ","2,946",$0 ,0,"$53,925 ","1,115",43.10%,"$138,149 ","2,888",$47.80 ,76,30,11
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"2,110","$223,788 ","$126,661 ","$23,108 ",384,"$214,536 ","3,241",$0 ,0,"$63,417 ",904,58.10%,"$214,790 ","3,250",$60.00 ,273,30,25
202G,GIFTS,STRAUT LITTLE,Value Store,349,"$7,937 ","$3,881 ","$11,901 ",854,"$19,702 ","2,414",$0 ,0,"$6,996 ",576,10.70%,"$19,401 ","2,410",$11.10 ,12,30,454
202G,GIFTS,STRAUT LITTLE,Value Store,154,"$3,823 ","$2,222 ","$43,565 ",52698,"$11,124 ",846,$0 ,0,"$5,050 ",353,18.20%,"$11,124 ",846,$14.40 ,3,29,160
202G,GIFTS,STRAUT LITTLE,Value Store,"1,427","$34,833 ","$9,292 ",$627 ,178,"$26,453 ","4,602",$0 ,0,"$8,736 ","1,299",29.90%,"$26,392 ","4,597",$6.50 ,12,30,3
202G,GIFTS,STRAUT LITTLE,Value Store,9,$346 ,$83 ,"$1,543 ",168,$0 ,0,$0 ,0,"$1,351 ",147,5.40%,$0 ,0,$9.20 ,2,13,181
202G,GIFTS,STRAUT LITTLE,Value Store,"13,542","$793,506 ","$425,545 ","$298,412 ","7,401","$497,227 ","17,567",$0 ,0,"$204,495 ","6,071",56.40%,"$457,457 ","16,603",$31.40 ,589,30,45
202G,GIFTS,STRAUT LITTLE,Value Store,338,"$44,930 ","$21,939 ","$2,060 ",56,"$24,331 ",359,$0 ,0,"$1,466 ",39,87.60%,"$22,371 ",330,$64.90 ,7,19,349
202G,GIFTS,STRAUT LITTLE,Value Store,110,"$39,234 ","$12,940 ","$27,811 ",224,"$5,613 ",46,$0 ,0,"$11,152 ",90,40.30%,"$6,066 ",49,$117.60 ,21,30,14
202G,GIFTS,STRAUT LITTLE,Value Store,"1,394","$707,999 ","$521,588 ","$199,242 ",483,"$816,994 ","2,090",$945 ,15,"$225,700 ",552,55.90%,"$787,125 ","2,010",$374.20 ,162,30,60
202G,GIFTS,STRAUT LITTLE,Value Store,"9,673","$3,249,906 ","$817,935 ","$678,538 ","7,257","$1,097,745 ","13,653",$0 ,0,"$631,285 ","7,403",45.70%,"$1,132,697 ","13,894",$84.60 ,376,30,197
202G,GIFTS,STRAUT LITTLE,Value Store,"5,963","$66,070 ","$37,256 ","$24,440 ","4,724","$125,681 ","14,897",$0 ,0,"$30,366 ","4,401",30.40%,"$124,176 ","14,897",$6.20 ,55,30,261
202G,GIFTS,STRAUT LITTLE,Value Store,"2,897","$39,374 ","$12,317 ","$21,241 ","3,559","$40,648 ","10,444",$0 ,0,"$14,501 ","2,985",20.70%,"$40,626 ","10,438",$4.30 ,128,30,15
202G,GIFTS,STRAUT LITTLE,Value Store,"9,803","$83,224 ","$42,774 ","$41,135 ","7,265","$116,029 ","23,958",$0 ,0,"$33,398 ","6,799",31.40%,"$114,590 ","23,958",$4.40 ,76,30,638
202G,GIFTS,STRAUT LITTLE,Value Store,818,"$39,980 ","$12,880 ","$17,740 ","1,204","$18,033 ",994,$0 ,0,"$14,181 ",876,37.10%,"$17,715 ",998,$15.70 ,93,30,315
202G,GIFTS,STRAUT LITTLE,Value Store,"3,118","$96,830 ","$56,930 ","$132,926 ","4,893","$52,103 ","2,463",$0 ,0,"$83,361 ","3,033",41.30%,"$56,666 ","2,649",$18.30 ,474,30,327
202G,GIFTS,STRAUT LITTLE,Value Store,"1,585","$34,233 ","$8,376 ","$40,703 ","5,784","$16,245 ","3,406",$0 ,0,"$17,174 ","2,614",17.20%,"$16,111 ","3,406",$5.30 ,22,30,202
202G,GIFTS,STRAUT LITTLE,Value Store,"10,643","$672,808 ","$335,252 ","$183,545 ","7,752","$643,427 ","20,039",$0 ,0,"$222,010 ","7,804",38.10%,"$648,206 ","20,178",$31.50 ,286,30,536
202G,GIFTS,STRAUT LITTLE,Value Store,"6,443","$848,482 ","$474,799 ","$1,669,955 ","20,251","$674,883 ","9,233",$0 ,0,"$743,780 ","9,171",21.30%,"$767,872 ","10,031",$73.70 ,"1,053",30,208
202G,GIFTS,STRAUT LITTLE,Value Store,"9,804","$3,363,686 ","$640,578 ","$217,068 ","3,301","$926,605 ","14,166",$0 ,0,"$303,809 ","4,650",57.20%,"$905,868 ","13,834",$65.30 ,375,30,21
202G,GIFTS,STRAUT LITTLE,Value Store,806,"$34,836 ","$8,182 ","$165,003 ","11,289","$6,286 ","1,497",$0 ,0,"$66,952 ","4,382",6.30%,"$6,379 ","1,501",$10.20 ,331,30,1
202G,GIFTS,STRAUT LITTLE,Value Store,"10,313","$967,467 ","$573,579 ","$1,039,747 ","16,991","$1,023,601 ","19,107",$0 ,0,"$617,151 ","10,441",27.80%,"$1,089,849 ","20,131",$55.60 ,653,30,304
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"3,195","$44,943 ","$23,950 ","$3,047 ",476,"$40,870 ","5,536",$0 ,0,"$13,811 ","1,796",53.20%,"$40,863 ","5,535",$7.50 ,36,29,197
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"7,768","$398,253 ","$122,586 ","$127,955 ","8,691","$179,828 ","10,698",$0 ,0,"$96,537 ","6,155",38.90%,"$188,389 ","11,277",$15.80 ,317,30,234
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,110,"$2,975 ","$2,277 ","$10,328 ",514,$60 ,2,$0 ,0,"$5,503 ",261,21.40%,$0 ,0,$20.70 ,16,26,157
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"6,257","$378,639 ","$77,727 ","$98,295 ","9,188","$158,613 ","11,894",$0 ,0,"$72,213 ","5,994",29.60%,"$157,158 ","11,977",$12.40 ,79,30,53
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,112,"$3,386 ","$2,275 ","$13,116 ",723,($57),-3,$0 ,0,"$6,576 ",356,15.50%,$0 ,0,$20.30 ,25,26,62
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,131,"$2,299 ","$1,546 ","$5,839 ",848,$0 ,-2,$0 ,0,"$2,673 ",366,15.40%,$0 ,0,$11.80 ,17,26,127
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"5,896","$386,573 ","$100,851 ","$55,250 ","3,082","$235,385 ","13,714",$0 ,0,"$78,588 ","4,509",35.00%,"$235,816 ","13,745",$17.10 ,124,30,38
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"9,708","$346,834 ","$199,494 ","$172,752 ","7,773","$440,223 ","18,947",$0 ,0,"$174,076 ","7,855",36.00%,"$444,441 ","19,165",$20.50 ,300,30,108
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"4,600","$69,390 ","$31,316 ","$41,330 ","3,462","$80,234 ","12,090",$0 ,0,"$37,551 ","4,727",28.90%,"$83,927 ","12,454",$6.80 ,289,30,17
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,297,"$5,803 ","$3,026 ","$6,118 ",543,"$4,058 ",412,$0 ,0,"$3,088 ",288,31.20%,"$4,022 ",409,$10.20 ,23,30,673
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,347,"$33,073 ","$7,494 ","$27,825 ","1,394",$239 ,6,$0 ,0,"$13,544 ",667,24.90%,$0 ,0,$21.60 ,38,26,436
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"4,940","$233,708 ","$111,495 ","$53,669 ","2,540","$156,212 ","6,395",$0 ,0,"$57,512 ","2,460",55.00%,"$156,559 ","6,437",$22.60 ,59,30,29
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"1,488","$395,738 ","$93,272 ","$196,157 ","4,181","$269,526 ","4,034",$0 ,0,"$114,629 ","2,405",18.10%,"$271,168 ","4,045",$62.70 ,82,30,25
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"4,564","$76,268 ","$43,311 ","$51,804 ","5,244","$59,399 ","6,012",$0 ,0,"$33,348 ","3,411",40.20%,"$61,870 ","6,120",$9.50 ,226,30,889
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"3,047","$79,044 ","$40,530 ","$61,561 ","3,465","$88,667 ","6,622",$0 ,0,"$48,342 ","3,409",29.60%,"$92,055 ","6,843",$13.30 ,164,30,50
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,949,"$26,278 ","$15,213 ","$42,410 ","2,469","$29,616 ","2,008",$0 ,0,"$21,395 ","1,270",21.20%,"$29,130 ","1,997",$16.00 ,94,30,59
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"4,137","$384,660 ","$88,762 ","$123,606 ","5,737","$191,422 ","8,833",$0 ,0,"$93,049 ","4,352",27.60%,"$200,543 ","9,267",$21.50 ,254,30,206
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,547,"$8,683 ","$5,052 ",$549 ,11,"$9,517 ",895,$0 ,0,"$1,982 ",221,60.60%,"$9,371 ",891,$9.20 ,21,29,32
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,186,"$3,676 ","$2,334 ",$400 ,126632,"$3,091 ",247,$0 ,0,"$1,083 ",86,74.40%,"$3,121 ",250,$12.50 ,3,20,547
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"7,297","$378,362 ","$99,332 ","$63,205 ","4,281","$184,147 ","13,974",$0 ,0,"$71,006 ","5,063",39.70%,"$186,121 ","14,116",$13.60 ,287,30,126
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"3,853","$383,229 ","$34,942 ",2770,217349,"$76,878 ","8,092",$0 ,0,"$42,198 ","4,350",47.60%,"$76,829 ","8,087",$9.10 ,11,16,187
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"1,019","$54,353 ","$27,057 ",$914 ,20,"$55,211 ","1,862",$0 ,0,"$11,928 ",414,55.40%,"$54,058 ","1,821",$26.60 ,25,30,120
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"1,097","$386,936 ","$114,529 ","$320,951 ","2,822","$135,831 ","1,227",$0 ,0,"$131,670 ","1,183",26.30%,"$148,873 ","1,355",$104.40 ,454,30,19
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"5,644","$89,003 ","$49,938 ","$46,401 ","5,006","$85,107 ","9,327",$0 ,0,"$35,529 ","3,923",39.10%,"$86,037 ","9,425",$8.80 ,160,30,8
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,10,$322 ,$231 ,"$1,194 ",28,$0 ,0,$0 ,0,"$1,159 ",27,35.70%,$0 ,0,$23.10 ,3,13,186
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"5,328","$374,464 ","$98,007 ","$64,185 ","3,792","$171,530 ","10,405",$0 ,0,"$61,209 ","3,646",37.30%,"$172,014 ","10,504",$18.40 ,181,30,13
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,153,"$5,075 ","$3,182 ","$19,772 ","1,236",($450),-35,$0 ,0,"$9,044 ",571,12.40%,$0 ,0,$20.80 ,45,26,246
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"10,419","$375,438 ","$92,812 ","$128,040 ","11,516","$139,488 ","18,515",$0 ,0,"$90,676 ","10,210",34.30%,"$142,914 ","18,854",$8.90 ,349,30,5
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,51,"$3,395 ","$1,034 ","$9,988 ",419,($317),-10,$0 ,0,"$9,312 ",393,12.20%,$0 ,0,$20.30 ,14,13,83
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"3,280","$387,503 ","$117,767 ","$44,969 ","1,124","$218,614 ","5,643",$0 ,0,"$51,641 ","1,347",48.50%,"$218,573 ","5,643",$35.90 ,60,30,220
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"2,942","$368,986 ","$80,546 ","$150,654 ","5,293","$38,641 ","1,455",$0 ,0,"$53,221 ","1,930",42.80%,"$42,868 ","1,587",$27.40 ,197,30,52
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"5,285","$345,522 ","$79,432 ","$71,336 ","4,255","$170,004 ","11,603",$0 ,0,"$70,117 ","4,705",33.40%,"$169,604 ","11,579",$15.00 ,261,30,89
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"1,499","$6,293 ","$3,230 ","$4,002 ","1,526","$2,211 ","1,147",$0 ,0,"$1,559 ",637,56.10%,"$2,215 ","1,148",$2.20 ,15,30,229
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"27,778","$635,660 ","$356,498 ","$244,744 ","18,121","$507,276 ","41,547",$0 ,0,"$212,303 ","16,585",46.20%,"$513,942 ","42,049",$12.80 ,638,30,108
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"7,156","$233,676 ","$121,756 ","$155,105 ","8,217","$214,020 ","12,760",$0 ,0,"$110,753 ","6,034",34.00%,"$214,432 ","12,815",$17.00 ,315,30,46
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"2,851","$395,256 ","$115,855 ","$391,693 ","6,050","$91,445 ","3,048",$0 ,0,"$168,795 ","3,104",28.50%,"$155,606 ","3,950",$40.60 ,327,30,561
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"3,448","$69,333 ","$40,809 ","$35,980 ","3,237","$50,171 ","4,298",$0 ,0,"$24,209 ","2,152",45.10%,"$53,456 ","4,414",$11.80 ,202,30,9
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"15,950","$309,044 ","$169,206 ","$161,483 ","14,367","$250,875 ","22,912",$0 ,0,"$129,405 ","11,712",42.30%,"$255,980 ","23,350",$10.60 ,536,30,71
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,"7,670","$206,930 ","$119,738 ","$108,804 ","7,136","$174,983 ","10,814",$0 ,0,"$88,509 ","5,680",42.30%,"$178,508 ","11,017",$15.60 ,208,30,28
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,602,"$37,089 ","$9,676 ","$5,314 ",319,"$14,843 ",918,$0 ,0,"$7,265 ",443,48.70%,"$14,834 ",918,$16.10 ,21,30,56
205C,CHILDREN_FASHION,FIRE AND WATER,Fashion Quotient,99,"$3,594 ",$842 ,$969 ,114,$0 ,0,$0 ,0,$261 ,31,86.80%,$0 ,0,$8.50 ,1,26,609
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"10,239","$383,494 ","$101,331 ","$97,973 ","8,706","$158,904 ","16,642",$0 ,0,"$88,192 ","8,684",40.20%,"$161,820 ","16,787",$9.90 ,304,30,16
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"4,573","$393,589 ","$95,667 ","$68,200 ","3,517","$120,576 ","5,211",$0 ,0,"$62,662 ","2,862",51.50%,"$124,841 ","5,367",$20.90 ,197,30,185
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"2,020","$385,787 ","$97,713 ","$66,354 ","1,265","$250,507 ","5,040",$0 ,0,"$106,694 ","2,046",31.70%,"$254,057 ","5,111",$48.40 ,234,30,60
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"4,233","$372,287 ","$81,234 ","$63,910 ","3,079","$158,297 ","7,884",$0 ,0,"$61,196 ","3,120",37.50%,"$165,132 ","8,208",$19.20 ,157,30,69
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"3,297","$382,673 ","$79,553 ","$35,841 ","2,322","$139,967 ","4,608",$0 ,0,"$50,248 ","2,202",47.60%,"$139,737 ","4,611",$24.10 ,53,30,210
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"1,577","$23,533 ","$11,697 ","$15,217 ","2,045","$11,119 ","1,389",$0 ,0,"$9,373 ","1,243",45.50%,"$11,395 ","1,418",$7.40 ,62,30,31
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"3,278","$74,946 ","$39,762 ","$54,288 ","4,326","$54,887 ","4,572",$0 ,0,"$36,490 ","2,980",36.10%,"$56,943 ","4,760",$12.10 ,127,30,161
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,674,"$39,635 ","$12,320 ","$9,287 ",517,"$20,317 ","1,127",$0 ,0,"$11,684 ",645,41.10%,"$20,249 ","1,123",$18.30 ,38,30,2
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"4,922","$394,663 ","$90,319 ","$240,038 ","11,964","$62,019 ","3,698",$0 ,0,"$84,844 ","4,392",30.30%,"$74,908 ","4,306",$18.40 ,108,30,2
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,465,"$387,004 ","$100,359 ","$43,998 ",184,"$317,563 ","1,540",$0 ,0,"$141,938 ",683,26.50%,"$323,998 ","1,572",$215.80 ,17,30,2
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"21,277","$423,453 ","$232,620 ","$216,311 ","17,078","$328,819 ","30,278",$0 ,0,"$174,043 ","15,214",44.50%,"$334,308 ","30,719",$10.90 ,673,30,4
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"7,543","$368,462 ","$110,515 ","$103,623 ","7,037","$153,959 ","11,138",$0 ,0,"$85,304 ","5,962",41.00%,"$156,763 ","11,356",$14.70 ,436,30,3
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"5,087","$382,072 ","$99,699 ","$164,322 ","8,577","$96,644 ","5,602",$0 ,0,"$109,014 ","6,065",35.30%,"$100,300 ","5,821",$19.60 ,29,26,3
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,73,"$3,946 ","$2,907 ","$9,832 ",223,($172),-6,$0 ,0,"$5,514 ",119,32.70%,$0 ,0,$39.80 ,25,26,2
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"19,680","$443,363 ","$242,929 ","$235,402 ","15,361","$381,365 ","31,910",$0 ,0,"$179,380 ","13,222",40.70%,"$400,520 ","33,015",$12.30 ,889,30,2
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"4,668","$204,843 ","$100,740 ","$73,920 ","3,629","$108,526 ","4,511",$0 ,0,"$53,955 ","2,500",57.80%,"$106,750 ","4,447",$21.60 ,50,30,4
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"1,877","$200,758 ","$98,958 ","$149,059 ","2,808","$121,602 ","2,246",$0 ,0,"$102,675 ","1,945",37.60%,"$118,822 ","2,189",$52.70 ,59,30,3
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"6,779","$369,725 ","$95,132 ","$121,822 ","7,626","$127,889 ","9,993",$0 ,0,"$85,959 ","5,965",38.20%,"$129,556 ","10,104",$14.00 ,206,30,1
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,425,"$30,898 ","$5,967 ","$6,528 ",402,"$12,552 ",829,$0 ,0,"$7,545 ",482,34.40%,"$12,619 ",835,$14.00 ,32,30,6
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"13,895","$372,236 ","$201,388 ","$183,029 ","11,173","$346,455 ","23,935",$0 ,0,"$172,621 ","11,400",39.50%,"$347,123 ","24,011",$14.50 ,547,30,1
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"4,091","$370,360 ","$79,963 ","$102,921 ","4,378","$100,647 ","5,245",$0 ,0,"$64,269 ","3,093",41.70%,"$105,794 ","5,444",$19.50 ,126,30,3
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"1,837","$389,038 ","$97,894 ","$58,693 ","1,038","$161,943 ","2,660",$0 ,0,"$85,069 ","1,356",49.80%,"$161,390 ","2,648",$53.30 ,187,30,1
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"1,842","$30,085 ","$16,311 ","$19,073 ","2,003","$20,401 ","2,060",$0 ,0,"$14,420 ","1,479",44.30%,"$21,377 ","2,159",$8.90 ,120,30,29
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,105,"$3,042 ","$1,950 ","$8,190 ",434,($43),-2,$0 ,0,"$4,596 ",229,24.20%,$0 ,0,$18.60 ,19,26,11
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,645,"$7,359 ","$3,526 ","$1,087 ",307,"$4,251 ",733,$0 ,0,"$1,621 ",322,62.00%,"$4,251 ",733,$5.50 ,8,30,1
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,"7,679","$230,724 ","$101,896 ","$91,540 ","4,878","$89,022 ","7,065",$0 ,0,"$43,501 ","3,206",65.00%,"$84,447 ","6,927",$13.30 ,186,30,2
205C,CHILDREN_FASHION,JANIEROSE,Fashion Quotient,524,"$34,539 ","$7,983 ","$7,622 ",500,"$13,807 ",889,$0 ,0,"$7,967 ",518,37.40%,"$13,980 ",901,$15.20 ,13,30,2
205C,CHILDREN_FASHION,SUPERMANN,Fashion Quotient,"7,402","$372,973 ","$62,705 ","$123,287 ","15,170","$73,992 ","8,536",$0 ,0,"$69,884 ","8,386",30.40%,"$79,443 ","9,212",$8.50 ,246,30,2
205C,CHILDREN_FASHION,SUPERMANN,Fashion Quotient,404,"$7,437 ","$4,689 ",4641,190501,"$5,683 ",490,$0 ,0,"$1,785 ",154,82.60%,"$5,656 ",489,$11.60 ,5,20,6
205C,CHILDREN_FASHION,SUPERMANN,Fashion Quotient,"2,077","$59,253 ","$36,342 ","$31,925 ","1,789","$35,054 ","2,187",$0 ,0,"$24,344 ","1,434",52.40%,"$34,746 ","2,171",$17.50 ,83,30,9
205C,CHILDREN_FASHION,SUPERMANN,Fashion Quotient,"4,460","$83,032 ","$45,406 ","$85,134 ","6,697","$41,330 ","3,816",$0 ,0,"$41,540 ","3,438",41.60%,"$43,726 ","4,020",$10.20 ,220,30,8
205C,CHILDREN_FASHION,SUPERMANN,Fashion Quotient,"1,527","$32,329 ","$18,786 ","$30,481 ","2,219","$29,176 ","2,505",$0 ,0,"$22,511 ","1,766",32.10%,"$29,533 ","2,542",$12.30 ,52,30,8
205C,CHILDREN_FASHION,SUPERMANN,Fashion Quotient,"1,252","$32,839 ","$18,820 ","$26,356 ","1,724","$25,901 ","1,740",$0 ,0,"$17,498 ","1,173",36.00%,"$26,120 ","1,756",$15.00 ,89,30,26
205C,CHILDREN_FASHION,SUPERMANN,Fashion Quotient,"6,156","$334,656 ","$91,097 ","$68,046 ","5,066","$130,455 ","9,136",$0 ,0,"$67,412 ","4,922",42.70%,"$133,132 ","9,351",$14.80 ,229,30,25
205C,CHILDREN_FASHION,SUPERMANN,Fashion Quotient,"7,402","$384,368 ","$85,148 ","$62,155 ","5,221","$102,299 ","9,021",$0 ,0,"$56,850 ","4,793",50.70%,"$105,857 ","9,392",$11.50 ,108,30,10
205C,CHILDREN_FASHION,SUPERMANN,Fashion Quotient,"3,502","$365,370 ","$82,680 ","$179,053 ","7,329","$34,903 ","1,525",$0 ,0,"$88,325 ","3,707",38.70%,"$39,996 ","1,711",$23.60 ,46,30,1
